metal,route,country,energy_mix_fossil,production_tonnes,recycling_rate,transport_km,scrap_return_tonnes,energy_intensity_MJ_per_tonne,ghg_kgCO2e_per_tonne
aluminium,primary,CN,0.29229024104456314,0.5174584013840546,0.3107541695531981,,0.0827214925604566,178481.5087045403,1327.9614107589325
lithium,primary,RU,0.8957450586749303,0.21578095142527412,0.06546622473903581,377.6342487830447,0.01338778746330235,64829.2321546059,1525.9532980031363
copper,mixed,RU,0.5777811406049636,0.26830392898643574,0.12336651807031057,74.1125111154774,0.022496845180035172,,107.67856799994067
copper,primary,US,0.7703058954757893,9.959305398497976,0.407412000727252,230.26921047169668,2.4156409345945167,62627.938007998724,1188.628856096554
aluminium,primary,AU,,3.161104622449928,,,1.1559812164296568,174385.71274984156,2283.829931794729
aluminium,secondary,RU,0.40696875793250764,5.201771801265167,0.6551639721720038,95.69175915124069,1.3966311835038052,26887.495072610862,183.81361751225512
aluminium,primary,AU,,0.5339619636150974,0.41849925933107784,446.0810872230306,0.14728687538788415,185697.46207403045,2292.4569949536053
nickel,secondary,IN,0.8353458762537469,6.56638242178961,0.8600506714823317,,3.4628981852991623,10741.081493238818,311.21962424451294
copper,primary,BR,0.7001729000251506,0.40782823572453775,0.1490843887116188,210.68565346544491,0.036658393858528,60786.8701285977,1076.32218785359
copper,primary,AU,0.9501118239663218,1.5229556440692402,,591.8901734207327,0.18684983178213224,71361.90430643645,1648.157540061138
aluminium,primary,CN,0.7437638228614671,3.6403367011442382,0.07213679942018114,1077.9771015792307,0.10996805565012421,202901.01984316864,3815.4170983474037
lithium,primary,BR,0.6561453054037552,0.96096086065048,0.3739486476165311,319.4400631129361,0.17653782465464035,,1111.488102603956
nickel,mixed,CN,0.6881568071886677,1.2061741589358141,,241.36965496261664,0.25961476368149145,,164.00160749878813
aluminium,primary,RU,0.9538971515747316,0.374356320122721,0.37961171697464396,,0.14113890843549942,186473.35262616776,4457.833780516571
aluminium,secondary,BR,,0.36231842835808425,,463.43004547030097,0.09589729083553204,,580.8533835576906
aluminium,primary,AU,0.21923298989315027,2.032896841446698,0.16811278819317993,,0.1709614327517827,186066.40611418206,1037.1605044188373
aluminium,primary,BR,0.6273117569085578,2.3511389940552534,0.12907915541743226,,0.29878047651643586,177363.0208738477,2708.383865270277
copper,mixed,RU,0.7506707292372519,3.104151429697565,0.195625148718664,252.28554919056094,0.47180535605779306,9989.437088697312,77.68217758607845
copper,primary,US,0.798958782751324,1.726936104667757,,260.96478716251903,0.366757425458831,58666.939174135914,1190.0307592856395
aluminium,secondary,CN,0.37051369545114937,2.175557263113053,0.6648438077534056,411.4142448839887,0.6469144709493078,28178.908536807998,313.198519203029
copper,mixed,RU,0.8937418835610818,0.1272189234624896,0.42362392803379445,129.65030614187046,0.043211213416461926,9225.104439807476,180.44471782120598
aluminium,secondary,US,,0.45388186184691626,0.7414281853226583,863.579349316929,0.16243246549443977,27454.052058540907,633.6205413638652
aluminium,mixed,BR,,8.488077791027843,0.0909602463851596,175.2060678097301,0.6197557401046291,26132.901522980323,286.7619721950076
aluminium,primary,BR,,0.2580723591368578,0.102610089554284,611.0050698579231,0.02614997372638448,,4655.714861478544
copper,primary,RU,0.27758301001287633,2.371309259299586,0.3204956741200443,359.96712782723426,0.5465754758507283,,384.5573565156909
copper,primary,AU,0.24456546889219616,0.48737007381360586,,440.82100042116656,0.03665141633654368,,365.1317226333105
aluminium,secondary,BR,0.3033790400821995,2.6226289576857837,,98.98695237552829,1.9085435877966186,,172.5362870897521
copper,mixed,AU,0.2461928635736288,2.5482857383796187,0.2865432569305412,,0.5168005755511983,8176.01913417596,-12.142721441444039
copper,primary,AU,0.8760097897246208,0.6336660243768865,0.14193221109334,,0.06474466781406325,65166.81563119546,1421.727945891915
aluminium,secondary,AU,,0.728420094444568,0.7263033106930481,,0.3633881846526569,23074.691859723916,151.77157444260354
copper,primary,IN,0.4173313530909244,2.2270929688871615,0.21243051694681336,395.5779489495255,0.3804900185963718,59611.79367812707,595.2575957857769
aluminium,secondary,US,0.28300507482868514,1.0888747578870945,,617.7268112706835,0.5400146004719235,26353.22526363673,232.74004037799867
aluminium,primary,US,0.436337629051012,0.5327032616770331,0.06286498999082012,,0.03322707689987685,169086.39655140103,1868.6353934537635
lithium,mixed,BR,0.2724475740807364,2.731146971264251,0.40833755618671597,35.96035256697616,0.9987084902175141,8178.921235781756,41.854492654245156
lithium,secondary,BR,,0.4348206264595742,0.6306071795291103,811.4621296472807,0.1532287408671282,9574.064785479175,182.46294214150532
nickel,primary,AU,0.3066614530740601,3.9709409630514116,0.3450152750193515,827.8265336006218,1.1446013428818613,54277.78691228488,397.300091303995
aluminium,primary,IN,0.8814767406711104,1.545850452760743,0.0510429853570535,140.72060497738013,0.04170752736657384,198553.03691254108,4364.281977063052
aluminium,primary,AU,0.8537528405813128,0.3234293297676731,0.30129577361489296,477.55242748845194,0.08472196013611874,194567.3756895079,4143.435689623455
copper,primary,IN,0.21092934837648755,2.468813178122126,0.28539446548441044,292.7566930100156,0.3442144414553913,54556.46148352789,199.18219477934306
copper,primary,AU,0.9165810844120916,1.5644540519012,,500.7827743290675,0.2835017340375408,66327.9925903183,1521.2446381070822
aluminium,mixed,CN,0.22315545339469367,0.8078077788462752,0.364346742682354,993.4468015831582,0.25734459473321386,,155.56644185411753
copper,secondary,CN,0.39171662796604534,1.1982300595502182,,41.612780439252646,0.511852136264159,8419.18594035065,205.5230527059975
aluminium,secondary,RU,0.22591131022079605,0.8086062139027572,,752.5038731826588,0.47228034012074926,25326.53264820001,165.03290911703922
lithium,primary,AU,,0.7104048853783668,,339.65084120282324,0.07992729557861152,57557.60319927079,641.749135242331
aluminium,mixed,BR,0.6110932205706173,0.457316758881388,,415.20211672224667,0.10873983792705903,28847.864903160178,358.67772977764855
